GEOID20,C_TOT22,C_HSP22,C_NHS22,C_WHT22,C_BLA22,C_AMI22,C_ASI22,C_NHP22,C_2OM22,C_BLW22,C_AIW22,C_ASW22,C_AIB22,C_AIA22,C_ASN22,C_BLK22,CVAP_TOT22,CVAP_HSP22,CVAP_NHS22,CVAP_WHT22,CVAP_BLA22,CVAP_AMI22,CVAP_ASI22,CVAP_NHP22,CVAP_2OM22,CVAP_BLW22,CVAP_AIW22,CVAP_ASW22,CVAP_AIB22,CVAP_AIA22,CVAP_ASN22,CVAP_BLK22
011250108022019,413,3,424,174,257,0,2,0,0,0,0,0,0,0,2,261,303,4,303,114,194,0,3,0,0,0,0,0,0,0,3,195
011250125041001,490,0,500,193,302,0,0,0,0,0,15,0,0,13,0,297,373,0,378,167,196,0,0,0,0,0,15,0,0,13,0,195
011250124041030,295,2,300,2,418,0,0,0,0,0,0,0,0,0,0,413,133,1,135,3,194,0,0,0,0,0,0,0,0,0,0,192
011250124071006,289,0,299,36,254,0,0,0,0,0,0,0,0,0,0,250,230,0,235,36,191,0,0,0,0,0,0,0,0,0,0,189
011250124041002,204,13,183,3,240,0,0,0,0,0,0,0,0,0,0,241,147,11,126,3,176,0,0,0,0,0,0,0,0,0,0,177
011250104031011,187,3,193,27,209,0,0,0,0,0,0,0,0,0,0,202,152,2,157,25,181,0,0,0,0,0,0,0,0,0,0,176
011250114013004,935,27,910,692,175,0,2,0,0,20,2,0,0,8,2,181,947,29,919,704,167,0,2,0,0,20,2,0,0,8,1,174
011250123063049,267,3,261,44,214,0,0,0,0,0,0,0,0,0,2,212,214,3,208,41,173,0,0,0,0,0,0,0,0,0,3,173
011250103041039,366,0,435,44,572,0,0,0,0,0,0,0,0,0,1,560,158,0,183,28,174,0,0,0,0,0,0,0,0,0,1,173
011250124082002,201,8,186,2,216,0,0,0,0,0,0,0,0,0,0,215,136,2,131,1,164,0,0,0,0,0,0,0,0,0,0,169
011250123051003,303,0,297,153,189,0,0,0,0,0,0,0,5,3,0,190,291,0,285,163,167,0,0,0,0,0,0,0,0,0,0,167
011250123042002,222,0,230,30,208,0,0,0,0,0,0,0,0,0,0,204,181,0,186,24,167,0,0,0,0,0,0,0,0,0,0,167
011250102061031,374,0,370,100,249,0,0,0,0,5,0,0,0,0,0,261,264,0,263,82,165,0,0,0,0,0,0,0,0,0,0,164
011250123062000,914,0,912,531,179,0,25,0,0,0,0,0,0,0,25,176,865,0,869,486,161,0,26,0,0,0,0,0,0,0,26,159
011250103032029,280,0,283,144,185,0,0,0,0,0,0,0,0,0,0,173,234,0,237,114,164,0,0,0,0,0,0,0,0,0,0,159
